100,Parnassius phoebus,¸£²¼¾îµû,,
101,Parnassius actius,ÖĞÑÇÀö¾îµû,,
102,Parnassius jacquemontii,ÏÄÃÎ¾îµû,,
103,Parnassius epaphus,ÒÀÅÁ¾îµû,,
104,Parnassius tianschanicus,ÌìÉ½¾îµû,,
105,Parnassius nomion,Ğ¡ºìÖé¾îµû,,
106,Parnassius apollo,°¢²¨ÂŞ¾îµû,,
107,Parnassius mnemosyne,ÃÙÃÎ¾îµû,,
108,Parnassius stubbendorfii,°×¾îµû,,
109,Parnassius citrinarius,±ùÇå¾îµû,Parnassius glacialis,
110,Parnassius eversmanni,°¬ö©¾îµû,,
111,Parnassius ariadne,°®ÂÂ¾îµû,,
112,Parnassius orleans,ÕäÖé¾îµû,,
113,Parnassius hardwickii,ÁªÖé¾îµû,,
114,Parnassius szechenyii,ËÄ´¨¾îµû,,
115,Parnassius cephalus,ÔªÊ×¾îµû,,
116,Parnassius schulteri,Ê¦¹Å¾îµû,,
117,Parnassius maharajus,Âí¹ş¾îµû,,
118,Parnassius labeyriei,À¯±´¾îµû,,
119,Parnassius acco,°®çæ¾îµû,,
120,Parnassius hunningtoni,ºÕÄş¶Ù¾îµû,,
121,Parnassius przewalskii,ÆÕÊÏ¾îµû,,
122,Parnassius baileyi,°ÍÒá¾îµû,,
123,Parnassius acdestis,À¶¾«Áé¾îµû,,
124,Parnassius delphius,´äÈ¸¾îµû,,
125,Parnassius staudingeri,Î÷Úï¾îµû,,
126,Parnassius imperator,¾ıÖ÷¾îµû,,
127,Parnassius charltonius,æ±Í«¾îµû,,
128,Parnassius loxias,¿×È¸¾îµû,,
129,Parnassius tenedius,Î¢µã¾îµû,,
130,Parnassius simo,Î÷ºï¾îµû,,
131,Parnassius andreji,°²¶È¾îµû,,
132,Parnassius dongalaicus,Í¬ÂŞ¾îµû,,
133,Parnassius mercurius,·çÉñ¾îµû,,
134,Parnassius patricius,ÅÁÌØÁ¦¾îµû,,
135,Parnassius biamanensis,ÔÆÄÏ¾îµû,,
136,Parnassius augustus,,,
137,Parnassius huberi,,,
138,Parnassius hide,,,
139,Parnassius nosei,,,
140,Parnassius ruckbeili,,,
141,Catopsilia pomona,Ç¨·Ûµû,,
142,Catopsilia scylla,ïÓ»ÆÇ¨·Ûµû,,
143,Catopsilia pyranthe,Àæ»¨Ç¨·Ûµû,,
144,Catopsilia florella,Ëé°ßÇ¨·Ûµû,,
145,Dercas verhuelli,Ì´·½·Ûµû,,
146,Dercas lycorias,ºÚ½Ç·½·Ûµû,,
147,Dercas nina,³È³á·½·Ûµû,,
148,Colias erate,°ßÔµ¶¹·Ûµû,,
149,Colias poliographus,¶«ÑÇ¶¹·Ûµû,,
150,Colias erschoffi,»ÆÜÎ¶¹·Ûµû,,
151,Colias fieldii,³È»Æ¶¹·Ûµû,,
152,Colias palaeno,ºÚÔµ¶¹·Ûµû,,
153,Colias heos,ÀèÃ÷¶¹·Ûµû,,
154,Colias diva,Å®Éñ¶¹·Ûµû,,
155,Colias chrysotheme,ïÖ½ğ¶¹·Ûµû,,
156,Colias hyale,¶¹·Ûµû,,
157,Colias montium,É½¶¹·Ûµû,,
158,Colias berylla,ÓñÉ«¶¹·Ûµû,,
159,Colias nebulosa,÷ó¶¹·Ûµû,,
160,Colias arida,ºìºÚ¶¹·Ûµû,,
161,Colias adelaidae,°¢¶¹·Ûµû,,
162,Colias wanda,Íò´ï¶¹·Ûµû,,
163,Colias stoliczkana,Ë¹ÍĞ¶¹·Ûµû,,
164,Colias eogene,Êïºì¶¹·Ûµû,,
165,Colias grumi,¸ñÂ³¶¹·Ûµû,,
166,Colias sifanica,Î÷·¬¶¹·Ûµû,,
167,Colias aegidii,¶ı¶¹·Ûµû,,
168,Colias cocandica,Ğ¡¶¹·Ûµû,,
169,Colias tamerlana,ĞÂ½®¶¹·Ûµû,,
170,Colias tibetana,Î÷²Ø¶¹·Ûµû,,
171,Colias ladakensis,½ğ¶¹·Ûµû,,
172,Colias nina,ÄáÄÈ¶¹·Ûµû,,
173,Colias thrasibulus,ÓÂ¶¹·Ûµû,,
174,Colias felderi,·Æ¶ù¶¹·Ûµû,,
175,Colias lada,À­¶¹·Ûµû,,
176,Colias thisoa,É°¶¹·Ûµû,,
177,Colias staudingeri,Ç³³È¶¹·Ûµû,,
178,Colias tyche,ĞË°²¶¹·Ûµû,,
179,Colias viluiensis,±±Àè¶¹·Ûµû,,
180,Colias dubia,¶Å±È¶¹·Ûµû,,
181,Colias sieversi,Î÷èó¶¹·Ûµû,,
182,Eurema brigitta,ÎŞ±ê»Æ·Ûµû,,
183,Eurema laeta,¼â½Ç»Æ·Ûµû,,
184,Eurema hecabe,¿í±ß»Æ·Ûµû,,
185,Eurema mandarina,±±»Æ·Ûµû,,
186,Eurema blanda,éŞ»Æ·Ûµû,,
187,Eurema andersoni,°²µÏ»Æ·Ûµû,,
188,Eurema alitha,°²Àï»Æ·Ûµû,,
189,Eurema ada,Ã´ÃÃ»Æ·Ûµû,,
190,Gandaca harina,«\»Æ·Ûµû,,
191,Gonepteryx mahaguru,¼â¹³·Ûµû,,
192,Gonepteryx aspasia,µ­É«¹³·Ûµû,,
193,Gonepteryx taiwana,Ì¨Íå¹³·Ûµû,,
194,Gonepteryx maxima,´ó¹³·Ûµû,,
195,Gonepteryx rhamni,¹³·Ûµû,,
196,Gonepteryx amintha,Ô²³á¹³·Ûµû,,
197,Gonepteryx nepalensis,Äá²´¶û¹³·Ûµû,,
198,Ixias pyrene,³È·Ûµû,,
199,Delias pasithoe,±¨Ï²°ß·Ûµû,,
200,Delias acalis,ºìÒ¸°ß·Ûµû,,
201,Delias hyparete,ÓÅÔ½°ß·Ûµû,,
202,Delias lativitta,²àÌõ°ß·Ûµû,,
203,Delias subnubila,ÒşÌõ°ß·Ûµû,,
204,Delias belladonna,ÑŞ¸¾°ß·Ûµû,,
205,Delias sanaca,È÷Çà°ß·Ûµû,,
206,Delias berinda,±¶ÁÖ°ß·Ûµû,,
207,Delias agostina,°Â¹Å°ß·Ûµû,,
208,Delias patrua,ÄÚ»Æ°ß·Ûµû,,
209,Delias descombesi,Àö°ß·Ûµû,,
210,Delias levicki,Àõ°ß·Ûµû,,
